Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
10/01/2018,54.51012421,63.23923874,25.7259655,74.24589539,72.76696777,49.08420944,46.92249298,89.8493576,112.7157974,47.34270096,28.90240669
10/02/2018,54.74302292,63.30513,25.7259655,74.41487885,72.77655792,49.3665657,47.55742264,89.74597931,111.1918411,47.30389023,28.81309319
10/03/2018,54.35174179,63.81572342,25.96752739,74.72467804,72.99767303,48.83828354,46.98509216,89.57684326,110.8156662,47.51733017,28.48262787
10/04/2018,54.10020447,63.55218124,26.14404678,74.48059845,71.68058777,48.71988678,47.23548508,88.70298004,109.0794907,46.83822632,28.3486557
10/05/2018,53.69960022,63.54396439,26.01397896,74.09570313,70.77688599,48.67434692,47.9598465,88.59960938,108.2596588,46.39196014,28.357584
10/08/2018,53.67164993,63.49453354,26.19049835,74.28346252,69.97892761,49.34834671,48.36226273,88.56201935,108.5393829,46.23674393,28.72377968
10/09/2018,51.89222336,64.06278229,26.08830452,73.13817596,70.22891998,49.23905182,48.55900192,88.71237946,108.2210846,46.20764542,28.82202339
10/10/2018,50.5320282,62.05335999,25.28001404,70.78190613,66.82563019,48.64701462,48.29072571,86.61694336,104.575119,44.38378906,28.36651611
10/11/2018,49.94509125,59.95335388,24.52746391,68.91379547,65.979599,47.44473648,47.40539551,84.27722931,102.7328644,44.0054245,27.53588867
10/12/2018,50.08484268,60.11805725,24.55533981,69.3737793,68.09462738,47.70886612,47.35174179,85.57394409,104.6329956,44.98526001,27.51802254
10/15/2018,49.91714096,59.61568832,24.44384575,69.50519562,66.97942352,48.00033188,47.57530594,84.98197174,104.3918686,44.81063461,27.68772125
10/16/2018,50.71835327,60.10981369,24.85263824,70.67864227,68.99832153,48.53771973,48.06716156,87.31228638,106.4849091,45.9942131,28.2057476
10/17/2018,50.39227676,59.73099136,25.10349083,70.16233826,68.68108368,48.76542282,47.97773361,87.77272034,105.6071854,46.17853165,28.12536621
10/18/2018,49.82398987,59.43451309,24.68540955,68.95133972,67.3351593,48.70166397,48.04927063,86.77668762,103.5816498,45.33451843,28.13430023
10/19/2018,49.46995926,58.90744781,24.7783165,68.69788361,67.30632019,49.81286621,48.80046082,85.98738098,102.5688934,45.32481766,28.42010689
10/22/2018,49.07867432,58.25686264,24.24874496,68.46318054,67.86391449,49.43942642,48.48747253,85.28265381,102.9836349,45.29571152,28.01818657
10/23/2018,48.59422302,56.73331833,24.05363846,67.33670044,67.6043396,49.65802765,48.21917725,84.82221222,103.0029373,45.19869614,28.19681931
10/24/2018,47.05702591,54.49329758,23.44974709,65.05552673,64.57598114,49.86751938,49.39067459,82.02204895,99.92604828,43.04498672,28.52728271
10/25/2018,47.66258621,55.16036987,23.81207848,65.51551056,66.79676819,49.9859314,48.6216011,83.0838623,102.9450684,44.47109604,28.86668205
