Date,AAPL,AMD,AMZN,BAC,BK,C,CSCO,F,GOOG,HOG,HPQ,IBM,INTC,JPM,MS,MSFT,NVDA,SONY,T,VZ
11/01/2019,62.750328063964844,34.88999938964844,1791.43994140625,30.219512939453125,44.19937515258789,68.33454895019531,43.913421630859375,8.653055191040039,1273.739990234375,37.772361755371094,16.5572566986084,115.84745788574219,53.047080993652344,119.58377838134766,44.567054748535156,140.55300903320312,50.482688903808594,61.439998626708984,33.252586364746094,54.67356872558594
11/04/2019,63.16241455078125,36.290000915527344,1804.6600341796875,30.789697647094727,45.66144943237305,69.54689025878906,44.33360290527344,8.760123252868652,1291.3699951171875,37.31136703491211,16.762126922607422,117.67668914794922,54.07967758178711,120.53819274902344,45.9794921875,141.36471557617188,52.453758239746094,61.56999969482422,33.20136260986328,54.22074890136719
11/05/2019,63.07166290283203,36.150001525878906,1801.7099609375,31.18882179260254,46.083194732666016,69.25074005126953,44.59503936767578,8.779590606689453,1292.030029296875,37.887603759765625,17.134618759155273,117.86470794677734,54.02334976196289,120.80018615722656,45.90415954589844,141.27671813964844,52.23197937011719,61.439998626708984,33.440399169921875,53.88566207885742
11/06/2019,63.09864807128906,35.93000030517578,1795.77001953125,31.16031265258789,46.045711517333984,68.8713150024414,45.07124710083008,8.682256698608398,1291.800048828125,37.013641357421875,18.22415542602539,118.62547302246094,54.36787796020508,120.98735046386719,45.72524642944336,140.88552856445312,51.73859405517578,60.72999954223633,33.508697509765625,54.45621871948242
11/07/2019,63.82688903808594,36.279998779296875,1788.199951171875,31.578445434570312,46.29875946044922,70.15766906738281,45.2113037109375,8.653055191040039,1308.8599853515625,37.695526123046875,18.056533813476562,119.08385467529297,54.792625427246094,121.64232635498047,45.81940841674805,141.08111572265625,51.91551208496094,60.400001525878906,33.653831481933594,54.818477630615234
11/08/2019,64.00155639648438,36.290000915527344,1785.8800048828125,31.606956481933594,46.1113166809082,70.4445571899414,45.594139099121094,8.799057006835938,1311.3699951171875,37.82997512817383,18.177595138549805,119.0146713256836,55.00027847290039,121.9979019165039,46.28081130981445,142.74366760253906,51.77596664428711,60.40999984741211,33.61967849731445,53.74981689453125
11/11/2019,64.50837707519531,36.310001373291016,1771.6500244140625,31.53092384338379,45.9801025390625,69.96331787109375,44.912513732910156,8.837990760803223,1299.18994140625,36.99443435668945,18.28934097290039,117.16383361816406,55.07578659057617,121.56745910644531,46.22431182861328,142.89036560058594,51.87565231323242,61.720001220703125,33.61114501953125,53.98527908325195
11/12/2019,64.44932556152344,36.709999084472656,1778.0,31.445396423339844,45.83015060424805,69.47283935546875,45.16461944580078,8.799057006835938,1298.800048828125,36.84077835083008,18.186908721923828,117.26763153076172,54.934200286865234,120.8563461303711,46.14897537231445,143.82920837402344,52.23197937011719,62.130001068115234,33.440399169921875,53.72264862060547
11/13/2019,65.06687927246094,37.52000045776367,1753.1099853515625,31.16031265258789,45.314674377441406,68.39933776855469,45.248653411865234,8.575187683105469,1298.0,36.312557220458984,18.186908721923828,116.30760955810547,54.641605377197266,120.22003936767578,45.5651741027832,144.0639190673828,51.972835540771484,62.290000915527344,33.431861877441406,53.804161071777344
11/14/2019,64.61664581298828,38.349998474121094,1754.5999755859375,31.074787139892578,45.380279541015625,68.33454895019531,41.93390655517578,8.555720329284668,1311.4599609375,36.178096771240234,18.74564552307129,115.8924789428711,54.56608963012695,120.33234405517578,45.772335052490234,144.79737854003906,52.276832580566406,61.849998474121094,33.252586364746094,53.740760803222656
11/15/2019,65.38423919677734,38.560001373291016,1739.489990234375,31.293352127075195,45.52085876464844,68.85279846191406,42.10198211669922,8.711456298828125,1334.8699951171875,36.47582244873047,18.792205810546875,116.2384262084961,54.70766830444336,121.2025375366211,46.13014602661133,146.66531372070312,50.88138961791992,62.060001373291016,33.72212600708008,53.894718170166016
11/18/2019,65.71392059326172,39.880001068115234,1752.530029296875,31.32185935974121,45.67082595825195,68.85279846191406,42.15800857543945,8.711456298828125,1320.699951171875,36.06285858154297,18.633895874023438,116.16059875488281,54.98140335083008,122.22248077392578,46.167816162109375,147.02713012695312,52.897308349609375,62.439998626708984,33.8331184387207,53.83132553100586
11/19/2019,65.51464080810547,41.290000915527344,1752.7900390625,31.3028564453125,45.633331298828125,69.24149322509766,42.45680236816406,8.662788391113281,1315.4599609375,35.40017318725586,18.727018356323242,116.34221649169922,55.07578659057617,122.18502807617188,46.4503059387207,147.07603454589844,51.82830047607422,61.900001525878906,32.44154357910156,53.88566207885742
11/20/2019,64.75194549560547,40.97999954223633,1745.530029296875,31.06528091430664,45.811405181884766,68.39933776855469,42.09264373779297,8.497319221496582,1303.050048828125,34.113250732421875,18.3452205657959,115.20059204101562,54.65104293823242,121.29613494873047,46.23372268676758,146.82090759277344,52.623207092285156,61.47999954223633,31.741491317749023,53.867549896240234
11/21/2019,64.4616470336914,39.52000045776367,1734.7099609375,31.20782470703125,45.52085876464844,68.39009094238281,41.86854553222656,8.477852821350098,1301.3499755859375,34.35334396362305,18.298654556274414,115.75411224365234,54.953086853027344,121.57682800292969,45.98889923095703,146.68350219726562,52.3740119934082,61.52000045776367,32.100059509277344,53.98527908325195
11/22/2019,64.40504455566406,39.150001525878906,1745.719970703125,31.53092384338379,45.73643112182617,69.28776550292969,41.87788009643555,8.653055191040039,1295.3399658203125,35.02562713623047,18.568710327148438,116.18655395507812,54.3773078918457,122.38155364990234,46.374969482421875,146.79147338867188,52.55093765258789,61.20000076293945,32.228111267089844,54.11207962036133
